"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"08-SEP-2022","AGNI","Agni Green Power Ltd","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","2,20,000","36.18","-"
"08-SEP-2022","AGNI","Agni Green Power Ltd","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","2,20,000","34.45","-"
"08-SEP-2022","AJOONI","Ajooni Biotech Limited","AMIT BABULAL KHALAS","BUY","81,458","41.88","-"
"08-SEP-2022","AJOONI","Ajooni Biotech Limited","AMIT BABULAL KHALAS","SELL","81,458","41.71","-"
"08-SEP-2022","AJOONI","Ajooni Biotech Limited","HARSHA ISHVARBHAI SOLANKI","SELL","77,855","42.10","-"
"08-SEP-2022","AJOONI","Ajooni Biotech Limited","HARSHA ISHVARBHAI SOLANKI","BUY","77,855","41.75","-"
"08-SEP-2022","AJOONI","Ajooni Biotech Limited","NAVRATRI SHARE TRADING PRIVATE LIMITED .","BUY","60,000","42.10","-"
"08-SEP-2022","AJOONI","Ajooni Biotech Limited","SKSE SECURITIES LTD","BUY","52,505","41.22","-"
"08-SEP-2022","AJOONI","Ajooni Biotech Limited","SKSE SECURITIES LTD","SELL","53,257","41.61","-"
"08-SEP-2022","AMEYA","Ameya Precision Eng Ltd","ASHWIN STOCKS AND INVESTMENT PRIVATE LIMITED","BUY","44,000","69.33","-"
"08-SEP-2022","AMEYA","Ameya Precision Eng Ltd","MANSI SHARES & STOCK ADVISORS PVT LTD","BUY","72,000","70.48","-"
"08-SEP-2022","AMEYA","Ameya Precision Eng Ltd","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","40,000","68.40","-"
"08-SEP-2022","AMEYA","Ameya Precision Eng Ltd","SHRENI SHARES PRIVATE LIMITED","SELL","52,000","68.15","-"
"08-SEP-2022","AMEYA","Ameya Precision Eng Ltd","TOPGAIN FINANCE PRIVATE LIMITED","BUY","64,000","67.73","-"
"08-SEP-2022","AMEYA","Ameya Precision Eng Ltd","VINOD SHANKAR","BUY","40,000","71.52","-"
"08-SEP-2022","ASLIND","ASL Industries Limited","KABEELON SALES CORP","SELL","68,000","24.48","-"
"08-SEP-2022","ASLIND","ASL Industries Limited","SARVAGAY TEXTILE LLP","BUY","60,000","24.45","-"
"08-SEP-2022","ASLIND","ASL Industries Limited","SUNAYANA INVESTMENT COMPANY LIMITED","SELL","1,00,000","24.45","-"
"08-SEP-2022","ASLIND","ASL Industries Limited","ZUBER TRADING LLP","BUY","84,000","24.45","-"
"08-SEP-2022","BTML","Bodhi Tree Multimedia Ltd","ZYANA STOCKS AND COMMODITIES","BUY","19,200","235.52","-"
"08-SEP-2022","COFFEEDAY","Coffee Day Enterprise Ltd","IDBI TRUSTEESHIP SERVICES LTD","SELL","18,56,200","54.37","-"
"08-SEP-2022","COFFEEDAY","Coffee Day Enterprise Ltd","PARTH INFIN BROKERS PVT LTD","SELL","15,51,790","54.99","-"
"08-SEP-2022","COFFEEDAY","Coffee Day Enterprise Ltd","PARTH INFIN BROKERS PVT LTD","BUY","15,95,040","54.73","-"
"08-SEP-2022","DIL","Debock Industries Limited","SKSE SECURITIES LTD","BUY","1,96,033","35.86","-"
"08-SEP-2022","DIL","Debock Industries Limited","SKSE SECURITIES LTD","SELL","2,15,387","35.87","-"
"08-SEP-2022","GLOBE","Globe Textiles (I) Ltd.","NILAYBHAI JAGDISHBHAI VORA","SELL","10,00,000","6.70","-"
"08-SEP-2022","GOKEX","Gokaldas Exports Limited","PATHIK GANDOTRA","BUY","4,05,000","361.73","-"
